Investor_ID,Investor_Name,Age,Gender,City,PAN_Number,Investment_Type,Amount_Invested,Returns_%,Investment_Date,Financial_Advisor
B1032,Siya Acharya,50,Male,Kanpur,QEM9563W,Bonds,537376.41,-11.45,04-06-2020,Siya Lalla
B1033,Nitya Saraf,59,Female,Amritsar,XFQ6769I,Mutual Funds,506790.7,-6.01,20-09-2019,Anaya Shankar
B1034,Pranay Sastry,39,Female,Hazaribagh,QWQ9818I,Fixed Deposit,617939.44,23.53,06-03-2023,Jiya Bhakta
B1035,Alisha Zacharia,22,Female,Hajipur,WNP9365V,Mutual Funds,881530.93,-8.46,18-07-2017,Seher Dass
B1036,Anahi Acharya,70,Male,Firozabad,FGM4438D,Fixed Deposit,146084.8,2.54,07-05-2019,Shalv Chhabra
B1037,Kismat Seth,32,Male,Hosur,GGW2622W,Crypto,265946.27,-10.49,07-04-2019,Nishith Sinha
B1038,Kartik Din,66,Male,Khora ,BBV1732K,Real Estate,484728.36,0.09,26-01-2020,Sara De
B1039,Dhruv Khosla,49,Male,Solapur,NLF4884H,Crypto,990689.25,-2.59,20-04-2019,Ishita Sankaran
B1040,Zara Bains,43,Female,Pondicherry,RFX1601U,Stocks,755366.32,0.23,09-05-2020,Samar Bains
B1041,Pranay Mammen,39,Female,Meerut,HKC4081K,Crypto,450722.58,-12.88,26-01-2023,Prisha Barman
B1042,Charvi Dora,31,Female,Chinsurah,CHC3321R,Bonds,579992.74,-7.66,01-12-2023,Ojas Chaudry
B1043,Jayesh Tak,35,Male,Secunderabad,RQH5910E,Crypto,430665.29,2.97,09-10-2023,Divij Bansal
B1044,Elakshi Bhattacharyya,70,Female,Haridwar,MCH4526U,Mutual Funds,627006.67,-6.61,01-11-2020,Nitara Dada
B1045,Tejas Deshmukh,43,Male,Darbhanga,DNQ3198K,Mutual Funds,72775.88,-9.63,12-10-2023,Anika Sane
B1046,Kavya Anne,28,Male,Indore,LGJ4539C,Fixed Deposit,306900.69,11.73,11-04-2019,Amani Sha
B1047,Hazel Sehgal,27,Female,Agartala,TIL6882H,Mutual Funds,222307.28,3.15,13-09-2024,Hiran Doctor
B1048,Aaryahi Kanda,46,Female,Mangalore,UPG5544S,Fixed Deposit,831399.29,-1.71,20-03-2022,Aaryahi Bawa
B1049,Sana Wagle,28,Male,Medininagar,CQX3105Z,Bonds,590632.96,5.47,05-02-2021,Indrajit Gaba
B1050,Arnav Hans,44,Female,Proddatur,KXY7914G,Mutual Funds,759121.72,15.77,16-04-2022,Rhea Yadav
B1051,Miraya Sane,44,Male,Bidhannagar,XMK2218W,Crypto,727523.14,29.45,26-01-2017,Nirvi Zachariah
B1052,Taimur Dhar,60,Male,Nagercoil,OVT5177K,Real Estate,364169.64,-8.4,09-05-2023,Lavanya Sanghvi
B1053,Umang Dixit,38,Female,Kakinada,WUS5270D,Stocks,757936.14,-0.89,18-05-2022,Samar Bhatia
B1054,Ayesha Sabharwal,24,Female,Bhalswa Jahangir Pur,LNZ7255C,Stocks,603693.16,12.03,08-06-2024,Rati Gour
B1055,Taimur Ben,68,Male,Baranagar,ZDD3675P,Real Estate,816714.74,6.17,19-02-2018,Anvi Chaudhry
B1056,Indrajit Shanker,51,Male,Chandrapur,HCI7554W,Mutual Funds,998593.2,-14.68,06-05-2017,Gatik De
B1057,Samarth Ganesan,56,Male,Panihati,OSW8472P,Real Estate,874401.47,6.48,10-06-2022,Madhup Taneja
B1058,Bhamini Ramesh,29,Female,Dharmavaram,MAX2364A,Bonds,717587.43,-2.73,26-09-2019,Uthkarsh Sachdeva
B1059,Aarush Reddy,46,Male,Kumbakonam,WVS5164K,Bonds,116880.86,17,08-06-2017,Saksham Kadakia
B1060,Tiya Mangat,27,Male,Kirari Suleman Nagar,FPR7968M,Mutual Funds,221210.36,-1.67,25-07-2024,Amira Kulkarni
B1061,Zara Garg,57,Female,Sagar,TJP3346S,Fixed Deposit,722517.31,17.69,12-03-2021,Ira Grover
B1062,Vihaan Rau,40,Female,Amravati,AZE9780L,Bonds,895498.04,28.14,16-01-2022,Samar Raval
B1063,Amira Sangha,62,Female,Gudivada,WWJ4338T,Mutual Funds,348311.73,-12.45,17-09-2023,Pari Handa
B1064,Mannat Sane,61,Female,Amroha,QOO2156C,Fixed Deposit,981202.5,8.93,13-09-2024,Shayak Chander
B1065,Bhavin Kanda,45,Female,Ahmedabad,WSF5413B,Real Estate,53352.95,25.13,06-11-2017,Misha Kala
B1066,Tara Mani,58,Female,Chinsurah,LWK4156O,Mutual Funds,261967.4,19.77,24-04-2017,Aarav Khalsa
B1067,Rhea Bora,34,Male,Belgaum,CNA7097J,Crypto,560730.84,26.33,04-03-2019,Taimur Chandra
B1068,Miraan Deol,67,Male,Gaya,ATZ9379R,Mutual Funds,103451.6,25.29,16-02-2020,Jayant Basak
B1069,Elakshi Andra,26,Male,Sri Ganganagar,DGD3687T,Crypto,339126.21,-11.4,20-02-2017,Hansh Chakraborty
B1070,Ahana  Kakar,24,Female,Jalna,WYF7876D,Mutual Funds,831758.2,18.78,13-09-2022,Kimaya Swamy
B1071,Ishaan Chadha,64,Male,Bidhannagar,AAO3514C,Fixed Deposit,31711.56,-1.98,19-04-2023,Mehul Swamy
B1072,Pihu Khosla,36,Female,Mysore,QTG6183U,Bonds,173917.63,18.57,26-09-2019,Hiran Kuruvilla
B1073,Lagan Khosla,40,Male,Bhind,TAH8104R,Bonds,907364.79,22.03,17-10-2024,Ryan Sagar
B1074,Jiya Hegde,27,Male,Hubli–Dharwad,BUK7208S,Mutual Funds,285632.49,10.75,17-03-2024,Navya Basu
B1075,Zaina Chaudhari,36,Male,Firozabad,QLY1424T,Fixed Deposit,309067.29,17.81,27-04-2024,Alisha Mane
B1076,Shray Saxena,28,Male,Baranagar,FJF5055Q,Crypto,153198.11,10.95,26-05-2018,Prisha Doshi
B1077,Ishaan Mall,46,Male,Kottayam,KAQ2270I,Bonds,133323.64,3.96,19-05-2019,Indrans Deol
B1078,Yakshit Barad,39,Female,Navi Mumbai,NTT5425V,Fixed Deposit,106387.83,20.67,06-07-2022,Inaaya  Kota
B1079,Nayantara Barad,51,Female,Anantapuram,RAA3041Z,Crypto,324704.84,21.18,22-08-2018,Taran Kulkarni
B1080,Onkar Kalita,62,Male,Silchar,PSS9707E,Crypto,41250.14,29.9,10-05-2023,Samiha Dara
B1081,Purab Ganguly,45,Male,Amravati,MNS2802O,Bonds,201316.13,-9.05,01-07-2018,Badal Handa
B1082,Riya Bhagat,32,Female,Ichalkaranji,LMP9984V,Bonds,296260.65,3.34,25-04-2020,Himmat Kari
B1083,Onkar Bahl,45,Female,Sagar,TDH7664W,Real Estate,37972.41,-3.83,18-09-2019,Damini Hari
B1084,Samaira Jaggi,44,Male,Nandyal,RXU2080N,Crypto,571547.14,16.64,01-08-2017,Nitara Deol
B1085,Abram Gara,35,Male,Guntakal,DZK6396T,Real Estate,408044.1,10.93,03-06-2017,Nehmat Cheema
B1086,Madhup Shan,64,Male,Nagercoil,UQG2457L,Stocks,72547.8,26.53,17-03-2017,Saira Chand
B1087,Alisha Bansal,39,Female,Bhilai,XWN6944E,Mutual Funds,758049.45,1.35,11-05-2024,Indrajit Varghese
B1088,Devansh Mahal,66,Female,Bhalswa Jahangir Pur,XGG6464J,Crypto,489397.2,28.93,01-03-2018,Aaina Das
B1089,Nayantara Rajan,65,Female,Guntur,HOQ5476F,Stocks,912438.53,-8.8,06-11-2019,Nishith Kashyap
B1090,Ojas Uppal,63,Female,Kota,LAR3397G,Real Estate,750046.59,2.3,24-02-2017,Jayant Goda
B1091,Aarna Behl,26,Female,Dindigul,RQH4698M,Bonds,774675.87,18.29,10-06-2024,Miraan Ramanathan
B1092,Aarush Sampath,60,Male,Mumbai,JOW5483P,Crypto,135509.51,-1.45,03-05-2022,Siya Cherian
B1093,Hiran Mammen,62,Female,Sangli-Miraj & Kupwad,FJX1161X,Mutual Funds,266104.94,-9.16,17-05-2023,Anahita Vasa
B1094,Abram Kashyap,32,Female,Madanapalle,AKE2604G,Stocks,542857.74,6.88,05-10-2024,Lagan Chopra
B1095,Nehmat Bava,56,Female,Rajkot,NHH7179L,Crypto,755478.08,10,28-01-2018,Dhanush Bhattacharyya
B1096,Armaan Arya,68,Male,Belgaum,ZRF4640Q,Real Estate,634182.05,5.18,14-07-2021,Bhamini Bora
B1097,Shlok Kala,37,Male,Akola,LDX7203O,Real Estate,551237.33,-5.28,11-08-2019,Vihaan Gandhi
B1098,Tarini Behl,32,Female,Guntur,PFJ2720D,Crypto,956861.84,2.47,12-02-2017,Romil Chand
B1099,Dhanuk Chana,51,Male,Coimbatore,AIT3023A,Fixed Deposit,732190.91,3.06,22-07-2019,Anay Bains
B1100,Shayak Sidhu,46,Male,Nanded,WIP3879L,Mutual Funds,867635.77,-0.12,09-05-2024,Misha Lal
B1101,Lavanya Kunda,39,Male,Ghaziabad,IPO9625H,Stocks,467107.81,21.57,08-01-2019,Tushar Sethi
B1102,Abram Balakrishnan,62,Male,Vellore,CRL6022P,Real Estate,555641.42,2.7,16-01-2023,Samarth Bajaj
B1103,Siya Arora,66,Male,Bongaigaon,HPM9021K,Real Estate,105929.13,-13.13,24-05-2022,Aradhya Sodhi
B1104,Onkar Handa,57,Male,Kishanganj,LLS2565W,Bonds,88823.26,2.81,01-04-2020,Uthkarsh Bhardwaj
B1105,Saira Chawla,36,Male,Bettiah,JPB9666D,Mutual Funds,278161.38,4.53,16-09-2022,Mehul Samra
B1106,Mohanlal Bala,65,Male,Kharagpur,PMN6716S,Fixed Deposit,521801.88,-14.62,23-04-2019,Shalv Rege
B1107,Riaan Jha,42,Female,Pimpri-Chinchwad,TCE5620R,Bonds,995323.64,-13.02,18-07-2020,Jiya Dua
B1108,Vivaan Mall,25,Male,Kochi,RGB5440F,Mutual Funds,789404.1,17.89,02-07-2017,Jivin Chhabra
B1109,Samiha Borde,36,Female,Jamalpur,YON2623O,Stocks,841337.28,24.92,11-05-2018,Samarth Raman
B1110,Ira Kaur,24,Female,Ambarnath,NAL1785W,Real Estate,626322.04,-11.05,05-10-2024,Nirvaan De
B1111,Kiara Sant,42,Male,Kolhapur,QRK3797T,Bonds,919925.56,13.5,13-03-2020,Gokul Sekhon
B1112,Shalv Sehgal,47,Male,Panchkula,QJC6210J,Bonds,630324.2,-3.03,09-02-2024,Armaan Kumer
B1113,Pari Mammen,39,Male,Mirzapur,KPV7382J,Fixed Deposit,947713.08,-14.64,23-09-2022,Dharmajan Balan
B1114,Aarav Ramaswamy,26,Male,Kottayam,VUN3960A,Stocks,550455.87,9.53,21-10-2018,Drishya Sarraf
B1115,Nishith Sethi,35,Male,Jalandhar,RDD6655L,Mutual Funds,620303.48,-9.57,04-01-2024,Ryan Kapoor
B1116,Vihaan Bhat,58,Male,Sirsa,BFA9711Z,Mutual Funds,543019.72,23.68,24-01-2022,Tarini Chandra
B1117,Divyansh Gola,67,Female,Muzaffarnagar,APL7597O,Crypto,806718.69,11.4,14-10-2018,Oorja Wali
B1118,Hrishita Acharya,42,Female,Danapur,CYV8812R,Real Estate,256486.02,11.66,28-10-2024,Mohanlal Agate
B1119,Yasmin Dasgupta,35,Female,Mysore,YJB3090I,Crypto,975503.26,29.48,05-11-2024,Jayant Sethi
B1120,Darshit Sodhi,63,Male,Ghaziabad,EDL5244F,Bonds,401869.29,-12.36,05-10-2017,Fateh De
B1121,Rasha Sarin,53,Female,Naihati,YAY1155O,Mutual Funds,622359.65,18.34,19-02-2022,Suhana Tata
B1122,Nirvi Banik,47,Female,Muzaffarnagar,IBW9414A,Mutual Funds,445943.16,13.76,04-01-2019,Rohan Vasa
B1123,Prerak Bhalla,63,Male,Madhyamgram,KAT3547A,Real Estate,931006.69,-8.56,24-09-2019,Adira Ahuja
B1124,Vanya Khare,51,Male,Kottayam,CCC3070B,Mutual Funds,387350.79,-8.91,08-03-2022,Nirvi Gole
B1125,Rati Bakshi,31,Male,Khandwa,DCQ3337U,Crypto,319226.8,12.37,05-12-2020,Romil Bhasin
B1126,Trisha Divan,38,Female,Mira-Bhayandar,ETZ7206X,Crypto,893597.97,0.25,27-01-2024,Kismat Deo
B1127,Yuvraj  Sibal,30,Female,Mahbubnagar,UBA5380G,Bonds,99392.91,15.99,21-10-2021,Seher Andra
B1128,Hiran Mammen,37,Male,Ambattur,AIK1866S,Fixed Deposit,346882.14,19.53,19-08-2020,Anaya Dani
B1129,Anaya Madan,69,Female,Kurnool,IDV7064B,Bonds,268606.69,5.7,06-09-2022,Divij Bobal
B1130,Miraan Chaudhari,57,Male,Danapur,XCU5081X,Crypto,320420.11,1.7,18-06-2018,Chirag Krishna
B1131,Tara Sinha,56,Female,Anantapur,YON7852Z,Crypto,663307.54,6.04,26-06-2022,Khushi Raju
B1132,Divij Mann,38,Male,Ratlam,MHP8500P,Stocks,119539.52,11.89,14-02-2018,Seher Iyer
B1133,Diya Kara,69,Male,Kakinada,ZUH3999I,Mutual Funds,617560.13,-4.59,21-10-2020,Yashvi Kumer
B1134,Tanya Rana,59,Female,Muzaffarnagar,LXZ8191V,Fixed Deposit,725157.77,-9.95,10-02-2024,Taimur Kibe
B1135,Mahika Srinivasan,49,Male,Junagadh,XTV6799B,Stocks,682727.81,14.22,26-01-2019,Riaan Chana
B1136,Bhamini Kadakia,59,Male,Howrah,TPM8678Q,Fixed Deposit,68002.2,-6.6,27-06-2024,Saksham Tank
B1137,Adah Bakshi,47,Female,Suryapet,HGQ9228L,Bonds,690578.1,2.66,23-05-2024,Madhup Roy
B1138,Kaira Das,45,Male,Sasaram,LTF5699C,Crypto,482979.15,-12.77,06-05-2018,Himmat Mall
B1139,Yasmin Dora,36,Male,Chandrapur,HOP5519V,Crypto,367702.91,17.25,26-09-2021,Eva Khatri
B1140,Stuvan Desai,30,Female,Mehsana,UWB8008D,Mutual Funds,700020.98,4.37,19-04-2024,Neelofar Chawla
B1141,Kismat Kala,54,Male,Bhubaneswar,DAG9529L,Bonds,387675.01,-9.01,13-03-2023,Chirag Zachariah
B1142,Damini Chawla,53,Female,Kurnool,DSY4748K,Real Estate,697819,28.52,20-06-2019,Anya Wason
B1143,Bhavin Suri,27,Female,Kishanganj,KOG6000H,Real Estate,357748.43,0.7,18-09-2018,Dhanush D’Alia
B1144,Ritvik Banik,70,Female,Warangal,IXL2424A,Fixed Deposit,79679.82,21.66,03-12-2020,Damini Dugar
B1145,Miraya Soman,25,Male,Nizamabad,IFS6007T,Stocks,87820.26,7.18,21-05-2019,Anvi Joshi
B1146,Farhan Kamdar,29,Male,Jamalpur,XTI7660C,Mutual Funds,685938.39,-1.71,15-12-2024,Adah Saha
B1147,Pari Amble,31,Female,Vasai-Virar,MAB6123O,Mutual Funds,71248.45,-0.52,14-11-2020,Eshani Sridhar
B1148,Rania Andra,62,Male,Morbi,PQB2476Z,Bonds,834198.78,21.51,06-08-2024,Shlok Subramanian
B1149,Anya Saxena,32,Female,Bikaner,TLP2302W,Bonds,542439.29,29.17,07-05-2021,Biju Mangal
B1150,Aarna Bath,65,Female,Vasai-Virar,VDL2256O,Mutual Funds,773579.47,11.57,21-04-2021,Indranil Shanker
B1151,Misha Jaggi,49,Male,Panvel,IES4932Y,Stocks,809428.87,-8.83,20-05-2022,Alia Loke
B1152,Nirvi Sastry,60,Male,Uluberia,UCF2534E,Stocks,215070.12,-0.64,16-09-2024,Seher Rana
B1153,Kiara Kanda,26,Male,Hubli–Dharwad,GHA3705M,Fixed Deposit,321244.13,18.62,28-10-2019,Riaan Badami
B1154,Vedika Varghese,46,Male,Pondicherry,QBM1940A,Fixed Deposit,416681.7,28.32,16-06-2023,Darshit Kunda
B1155,Nitara Banerjee,46,Male,Visakhapatnam,SGD2385Z,Real Estate,712263.06,-2.33,13-06-2018,Kimaya Ahuja
B1156,Yakshit Bhavsar,60,Female,Ahmedabad,WPI5683J,Stocks,134505.41,-2.16,17-04-2021,Vanya Banerjee
B1157,Sahil Grewal,51,Male,Ramgarh,WIM9074G,Mutual Funds,519521.11,-0.18,20-03-2017,Onkar Andra
B1158,Ahana  Deo,55,Male,Cuttack,WYV1175O,Real Estate,267306.29,8.12,09-04-2017,Pihu Chad
B1159,Taimur Bobal,38,Male,Ahmedabad,PNI7946X,Bonds,378664.49,-9.4,10-11-2017,Hunar Kumar
B1160,Damini Cheema,57,Male,Jammu,RQR9334T,Real Estate,65253.25,-14.27,16-05-2019,Chirag Swamy
B1161,Manikya Dhawan,22,Female,Madanapalle,PXC3235B,Fixed Deposit,490653.05,10.25,21-01-2023,Ahana  Kulkarni
B1162,Anahi Ratti,65,Male,Gudivada,XTG8858Z,Real Estate,58660.21,17.33,02-12-2017,Saanvi Bal
B1163,Riya Dave,68,Female,Jamalpur,VYB9156G,Crypto,598176.22,11.79,20-01-2021,Elakshi Suri
B1164,Alia Amble,29,Female,Sikar,OOD9437L,Bonds,654814.08,0.65,23-07-2018,Renee Banerjee
B1165,Armaan Lal,65,Female,Akola,CCL9722Z,Crypto,308121.43,0.77,08-08-2022,Ojas Singhal
B1166,Himmat Sachdeva,56,Female,Jaipur,VJO3042K,Real Estate,144527.88,-5.49,05-07-2024,Samar Ratti
B1167,Samarth Sha,70,Male,Jalna,IGI7643H,Mutual Funds,535049.32,24.88,13-03-2021,Rasha Krishna
B1168,Badal Mangal,39,Male,Baranagar,BWW1227U,Stocks,584560.25,23.04,25-12-2023,Aaryahi Koshy
B1169,Jiya Borde,63,Male,Gorakhpur,KHU4115G,Mutual Funds,187138.27,19.29,12-03-2019,Ranbir Chadha
B1170,Amira Kumar,43,Male,Imphal,LLT1119Y,Real Estate,300384.19,2.92,05-10-2021,Jhanvi Talwar
B1171,Chirag Kamdar,29,Female,Muzaffarnagar,DCD7962H,Mutual Funds,382572.16,3.28,14-04-2017,Pari Boase
B1172,Lakshit Kapur,40,Female,Chinsurah,AKS9754J,Bonds,381294.22,24.01,20-01-2020,Shayak Goel
B1173,Pari Dube,49,Female,Muzaffarpur,ZXW6653Q,Fixed Deposit,866532.07,11.87,09-12-2018,Zain Sha
B1174,Kaira Shanker,32,Female,Phagwara,JHU5001X,Crypto,787661.96,15.86,22-02-2017,Kavya Biswas
B1175,Hridaan Biswas,51,Male,Muzaffarnagar,XNW9652N,Real Estate,743154.47,-8.28,15-03-2022,Anahi Seth
B1176,Anvi Hegde,22,Male,Mau,WHI1693C,Mutual Funds,561184.85,7.2,23-02-2020,Devansh Gola
B1177,Riaan Dayal,68,Male,Gopalpur,VMX8350K,Bonds,440558.93,7.28,06-08-2018,Vaibhav Kala
B1178,Samarth Sheth,68,Male,Haldia,TJV3761U,Crypto,502528.41,-0.83,10-07-2019,Miraya Shroff
B1179,Badal Mahal,38,Male,Jorhat,TFB9577J,Bonds,59502.32,3.33,16-05-2018,Riaan De
B1180,Abram Kulkarni,54,Male,Bhalswa Jahangir Pur,DFM4687B,Mutual Funds,791286.14,-14.46,19-07-2022,Azad Balan
B1181,Farhan Varughese,70,Female,Ozhukarai,WIP3864I,Stocks,269509.49,28.63,21-01-2017,Jayan Date
B1182,Miraya Chakraborty,33,Female,Ahmedabad,XMV2230E,Stocks,24211.53,3.38,09-09-2018,Shaan Shan
B1183,Yasmin Krishnamurthy,54,Female,Hazaribagh,ZGW7013M,Stocks,792597.94,21.49,26-10-2019,Vritika Kannan
B1184,Indranil Sastry,28,Female,Dharmavaram,QMA3184N,Mutual Funds,317634.66,22.82,11-04-2020,Arnav Arora
B1185,Vardaniya Singh,62,Male,Visakhapatnam,YKD9416O,Crypto,429354.77,-1.07,26-08-2021,Ojas Rajagopalan
B1186,Pranay Dalal,41,Female,Yamunanagar,KTE6788F,Real Estate,370545.64,4.04,06-03-2021,Dharmajan Thakur
B1187,Mehul Cherian,62,Female,Jamalpur,WXG1834Y,Mutual Funds,758703.64,5.14,25-11-2020,Shayak Kapadia
B1188,Jhanvi Raval,54,Male,Karawal Nagar,ULI7925X,Bonds,346517.57,-1.67,14-10-2022,Kiaan Soman
B1189,Rohan Wason,60,Male,Kharagpur,INM9118L,Mutual Funds,893538.97,23.87,16-12-2023,Jivika Bhavsar
B1190,Elakshi Kapur,34,Female,Dehri,MJU7211S,Fixed Deposit,575498.05,-8.06,12-02-2024,Nehmat Dasgupta
B1191,Hridaan Raman,31,Female,Tinsukia,QAL3793J,Real Estate,784691.67,3.97,01-10-2020,Manikya Hegde
B1192,Ranbir Mannan,45,Female,Durg,WXA7115Y,Crypto,315436.19,26.47,14-03-2019,Oorja Ramakrishnan
B1193,Indrans Thakkar,70,Female,Guntur,BWN2855T,Stocks,325742.93,-14.28,10-12-2019,Kavya Iyer
B1194,Kimaya Sahota,32,Female,Naihati,JAL6537V,Fixed Deposit,228525.35,-6.15,25-12-2024,Shlok Soni
B1195,Zoya Chad,56,Female,Bijapur,SGW5092L,Real Estate,783446.9,20.99,11-07-2020,Arnav Andra
B1196,Suhana Walia,55,Female,Nandyal,UHL9832G,Fixed Deposit,807211.98,-12.17,24-01-2017,Krish Das
B1197,Riaan Vig,22,Male,Dewas,MQZ2931N,Mutual Funds,38602.42,7.68,20-03-2020,Siya Master
B1198,Eshani Borra,60,Male,Kumbakonam,TMI5752Y,Real Estate,139547.27,-13.78,02-10-2017,Rhea Taneja
B1199,Dhruv Ramanathan,42,Male,Kavali,EQL5901R,Bonds,858466.95,1.85,10-07-2017,Shayak Ganesan
B1200,Advika Mannan,53,Male,Satna,RBJ8915P,Mutual Funds,375834.37,-6.04,03-07-2024,Tarini Karpe
B1201,Nitya Kashyap,23,Male,Thoothukudi,ITH5809C,Crypto,800940.66,-14.8,05-05-2021,Pari Mall
B1202,Anya Varty,29,Male,Chapra,RMT5337D,Stocks,877126.79,4.85,16-09-2024,Kabir Ramanathan
B1203,Anaya Ben,45,Female,Orai,SIG4490W,Fixed Deposit,785446.32,15.57,23-12-2020,Dishani Deshmukh
B1204,Farhan Dada,41,Female,Anand,LTX1036U,Mutual Funds,855745.34,13.57,09-06-2022,Kartik Bakshi
B1205,Gatik Kapadia,37,Female,Tirupati,MXB7449O,Mutual Funds,192482.1,-10.94,10-12-2017,Rohan Sekhon
B1206,Navya Keer,25,Male,Amritsar,BFT4562P,Crypto,424546.63,7.37,08-11-2019,Uthkarsh Sidhu
B1207,Prerak Wason,37,Female,Cuttack,YPW5994Y,Crypto,703592.44,-10.77,20-07-2018,Anaya Subramanian
B1208,Renee Deshpande,58,Female,Amravati,GLD9446B,Stocks,63650.48,4.05,05-10-2024,Anika Sachdeva
B1209,Eshani Balan,27,Male,Sonipat,QNA1580H,Crypto,402525.48,0.61,14-12-2017,Purab Sen
B1210,Kanav Soni,27,Male,Bihar Sharif,LWV8586Q,Stocks,340662.06,4.8,26-06-2024,Himmat Babu
B1211,Raunak Bakshi,68,Female,Sikar,GSA8999F,Fixed Deposit,612157.74,-12.22,08-10-2021,Kiaan Kuruvilla
B1212,Aarav Guha,53,Female,Ballia,EQC1942K,Fixed Deposit,236613.09,-9.2,08-05-2020,Neelofar Krishnamurthy
B1213,Bhavin Chaudhuri,26,Male,Gorakhpur,PWL6828X,Fixed Deposit,63162.08,-3.5,01-10-2023,Urvi Ramanathan
B1214,Dhruv Rama,70,Female,Nashik,NMD1096H,Bonds,697844.63,-11.62,28-06-2021,Raunak Rana
B1215,Anika Lata,56,Female,Dhule,XVW8542O,Real Estate,678514.88,-3.96,25-12-2020,Zain Comar
B1216,Zoya Bhattacharyya,30,Male,Ahmednagar,UHR6382B,Stocks,168661.5,-0.31,12-12-2019,Anya Vora
B1217,Kabir Golla,30,Male,Agra,ODP5888I,Stocks,194870.67,4.91,16-09-2019,Amani Sarkar
